radio,orbit_altitude_km,elevation_deg,slant_range_km,fspl_db,total_prop_loss_db,eirp_dbw,cn0_dbhz,ebn0_db,link_margin_db,pfd_dbw_per_m2
SAIT,600.0,45,814.7990551417361,168.97372846666678,173.47372846666678,20.179400086720374,97.40688075604122,11.266880756041218,7.976880756041218,-109.03370888772712
SAIT,600.0,50,760.8231778711361,168.37839282375631,172.87839282375631,20.179400086720374,98.00221639895169,11.862216398951688,8.572216398951689,-108.43837324481665
SAIT,600.0,55,717.6171074338627,167.87057380048446,172.37057380048446,20.179400086720374,98.51003542222354,12.370035422223538,9.080035422223538,-107.9305542215448
SAIT,600.0,60,683.1513775642861,167.44305710084325,171.94305710084325,20.179400086720374,98.93755212186475,12.797552121864754,9.507552121864755,-107.50303752190358
SAIT,600.0,65,655.9426111332668,167.0900350187825,171.5900350187825,20.179400086720374,99.29057420392552,13.150574203925515,9.860574203925516,-107.15001543984283
SAIT,600.0,70,634.9065394090512,166.80691413729602,171.30691413729602,20.179400086720374,99.57369508541198,13.433695085411983,10.143695085411984,-106.86689455835635
SAIT,600.0,75,619.2579462779877,166.59014989508793,171.09014989508793,20.179400086720374,99.79045932762007,13.65045932762007,10.36045932762007,-106.65013031614826
SAIT,600.0,80,608.4428960487166,166.4371146286372,170.9371146286372,20.179400086720374,99.9434945940708,13.803494594070798,10.5134945940708,-106.49709504969753
SAIT,600.0,85,602.0936325593257,166.3459988194508,170.8459988194508,20.179400086720374,100.03461040325719,13.89461040325719,10.60461040325719,-106.40597924051113
SAIT,600.0,90,600.0,166.3157431401131,170.8157431401131,20.179400086720374,100.06486608259489,13.924866082594889,10.63486608259489,-106.37572356117344
